time_stamp,group_id,member_id,humidity,temperature,pm2.5_alt,pm1.0_atm,pm10.0_atm,date_time_utc
1712484115,1872,173211,44.5,88.5,4.8,6.115,8.505,2024-04-07 10:01:55+00:00
1712484234,1872,173211,44.5,88.5,4.9,6.47,9.365,2024-04-07 10:03:54+00:00
1712484354,1872,173211,44.5,88.0,4.8,6.12,8.27,2024-04-07 10:05:54+00:00
1712484475,1872,173211,44.5,88.5,4.6,6.095,8.405,2024-04-07 10:07:55+00:00
1712484594,1872,173211,44.5,88.5,4.8,6.175,8.54,2024-04-07 10:09:54+00:00
1712484714,1872,173211,44.5,88.5,4.8,5.975,8.24,2024-04-07 10:11:54+00:00
1712484834,1872,173211,44.5,88.5,4.9,6.125,8.425,2024-04-07 10:13:54+00:00
1712484955,1872,173211,44.5,88.5,4.6,5.755,8.09,2024-04-07 10:15:55+00:00
1712485074,1872,173211,44.5,88.5,5.0,6.27,8.97,2024-04-07 10:17:54+00:00
1712485194,1872,173211,44.5,88.5,4.9,6.495,9.13,2024-04-07 10:19:54+00:00
1712485314,1872,173211,44.5,88.5,4.8,6.565,8.85,2024-04-07 10:21:54+00:00
1712485434,1872,173211,44.5,88.5,4.9,5.975,7.75,2024-04-07 10:23:54+00:00
1712485565,1872,173211,44.5,88.5,4.5,6.07,8.32,2024-04-07 10:26:05+00:00
1712485685,1872,173211,44.5,88.5,4.7,6.14,8.53,2024-04-07 10:28:05+00:00
1712485805,1872,173211,44.5,88.5,4.7,5.825,8.19,2024-04-07 10:30:05+00:00
1712485925,1872,173211,44.5,89.0,4.7,5.805,7.68,2024-04-07 10:32:05+00:00
1712486045,1872,173211,43.5,89.0,4.5,5.495,7.62,2024-04-07 10:34:05+00:00
1712486165,1872,173211,43.5,89.5,4.4,5.56,7.4,2024-04-07 10:36:05+00:00
1712486285,1872,173211,43.0,90.0,4.6,5.4,7.785,2024-04-07 10:38:05+00:00
1712488205,1872,173211,40.0,93.0,4.1,4.94,6.81,2024-04-07 11:10:05+00:00
1712488325,1872,173211,40.0,93.0,4.2,5.005,7.06,2024-04-07 11:12:05+00:00
1712488445,1872,173211,40.5,92.5,4.1,5.065,6.46,2024-04-07 11:14:05+00:00
1712488565,1872,173211,40.5,92.5,3.7,4.735,6.495,2024-04-07 11:16:05+00:00
1712488685,1872,173211,40.5,93.0,3.8,4.525,6.125,2024-04-07 11:18:05+00:00
1712488805,1872,173211,40.5,93.0,4.1,4.715,6.22,2024-04-07 11:20:05+00:00
1712488925,1872,173211,40.5,93.0,4.0,4.775,6.345,2024-04-07 11:22:05+00:00
1712489045,1872,173211,40.0,93.5,3.7,4.56,5.695,2024-04-07 11:24:05+00:00
1712489166,1872,173211,40.0,93.5,4.0,4.635,6.3,2024-04-07 11:26:06+00:00
1712489286,1872,173211,40.0,93.5,3.9,4.785,6.42,2024-04-07 11:28:06+00:00
1712489406,1872,173211,39.5,93.5,3.9,4.58,6.14,2024-04-07 11:30:06+00:00
1712489526,1872,173211,39.5,94.0,3.6,4.205,5.65,2024-04-07 11:32:06+00:00
1712489646,1872,173211,39.0,94.0,3.8,4.325,5.825,2024-04-07 11:34:06+00:00
1712489766,1872,173211,39.0,94.0,3.8,4.0,5.865,2024-04-07 11:36:06+00:00
1712489886,1872,173211,39.0,94.0,3.3,3.965,5.72,2024-04-07 11:38:06+00:00
